Title,Author,Additional Authors,Reference
The Woman in the Window,A.J. Finn,,
The Silent Wife,A.S.A. Harrison,,
"I Might Regret This: Essays, Drawings, Vulnerabilities, and Other Stuff",Abbi Jacobson,,
Like a Love Story,Abdi Nazemian,,
This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,,
The Blinds,Adam Sternbergh,,
And Then There Were None,Agatha Christie,,
Self-Inflicted Wounds: Heartwarming Tales of Epic Humiliation,Aisha Tyler,,
Nevertheless,Alec Baldwin,,
There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,,
The Silent Patient,Alex Michaelides,,
The Answer Is…: Reflections on My Life,Alex Trebek,,
The Count of Monte Cristo,Alexandre Dumas,Robin Buss,
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,Justin Hakuta,
The Lovely Bones,Alice Sebold,,
The Color Purple,Alice Walker,,
Waiting to Be Heard: A Memoir,Amanda Knox,,
Yes Please,Amy Poehler,,
The Girl with the Lower Back Tattoo,Amy Schumer,,
The Joy Luck Club,Amy Tan,,
Eyes Wide Open,Andrew Gross,,
"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,Danusia Stok,
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,,
"The Sisterhood of the Traveling Pants (The Sisterhood of the Traveling Pants, #1)",Ann Brashares,,
Dear Edward,Ann Napolitano,,
The Dutch House,Ann Patchett,,
Unqualified,Anna Faris,Chris Pratt,
Scrappy Little Nobody,Anna Kendrick,,
When All Is Said,Anne  Griffin,,
Almost Everything: Notes on Hope,Anne Lamott,,
A Clockwork Orange,Anthony Burgess,,
The Shell Collector,Anthony Doerr,,
All the Light We Cannot See,Anthony Doerr,,
Scar Tissue,Anthony Kiedis,Larry Sloman,
The Rules Do Not Apply,Ariel Levy,,
Memoirs of a Geisha,Arthur Golden,,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,,
Modern Romance,Aziz Ansari,Eric Klinenberg,
The Therapist,B.A. Paris,,
The Dilemma,B.A. Paris,,
Behind Closed Doors,B.A. Paris,,
Bring Me Back,B.A. Paris,,
The Breakdown,B.A. Paris,,
A Dream About Lightning Bugs: A Life of Music and Cheap Lessons,Ben Folds,,
Billy Lynn's Long Halftime Walk,Ben Fountain,,
"The Last Policeman (The Last Policeman, #1)",Ben H. Winters,,
The Death and Life of Charlie St. Cloud,Ben Sherwood,,
The Love Story of Missy Carmichael,Beth Morrey,,
Recursion,Blake Crouch,,
American Psycho,Bret Easton Ellis,,
"Stalked (Jonathan Stride, #3)",Brian Freeman,,
"Stripped (Jonathan Stride, #2)",Brian Freeman,,
"Immoral (Jonathan Stride, #1)",Brian Freeman,,
The Vanishing Half,Brit Bennett,,
"Public Enemies: America's Greatest Crime Wave and the Birth of the FBI, 1933-34",Bryan Burrough,,
The Reckless Oath We Made,Bryn Greenwood,,
All the Ugly and Wonderful Things,Bryn Greenwood,,
This Will Only Hurt a Little,Busy Philipps,,
Moranifesto,Caitlin Moran,,
How to Be a Woman,Caitlin Moran,,
"You Love Me (You, #3)",Caroline Kepnes,,
"Hidden Bodies (You, #2)",Caroline Kepnes,,
"You (You, #1)",Caroline Kepnes,,
Wishful Drinking,Carrie Fisher,,
"Red, White & Royal Blue",Casey McQuiston,,
Lies She Told,Cate Holahan,,
The Widower's Wife,Cate Holahan,,
